Name,Role,type,coach_id
Jim Tomsula,"Senior Defensive Assistant, Sr. Defensive Asst./LB",Worked For,TarvJa0
Tom Cable,Passing Game Coordinator,Worked For,TollTe0
Dennis Erickson,"Offensive Coordinator, Quarterbacks",Worked For,TollTe0
Dan Henning,"Assistant Head Coach/QB, Offensive Coordinator",Worked For,TollTe0
Chuck Knox,Quarterbacks,Worked For,TollTe0
Marv Levy,Wide Receivers,Worked For,TollTe0
Steve Mariucci,"Offensive Coordinator, Quarterbacks",Worked For,TollTe0
Mike Nolan,Assistant,Worked For,TollTe0
George Seifert,Offensive Coordinator,Worked For,HolmMi0
Bill Walsh,Quarterbacks,Worked For,HolmMi0
Jon Gruden,"Offensive Assistant, Wide Receivers",Employed,HolmMi0
Dick Jauron,Defensive Backs,Employed,HolmMi0
Steve Mariucci,Quarterbacks,Employed,HolmMi0
Jim Mora,Asst. Head Coach/Secondary,Employed,HolmMi0
Marty Mornhinweg,"Offensive Quality Control, Quarterbacks",Employed,HolmMi0
Andy Reid,"Quarterbacks, Tight Ends/Asst. Offensive Line",Employed,HolmMi0
Ray Rhodes,"Defensive Coordinator, Special Projects-Defense",Employed,HolmMi0
Mike Sherman,"Offensive Coordinator, Tight Ends/Assistant Offensive Line",Employed,HolmMi0
Jim Zorn,Quarterbacks,Employed,HolmMi0
Dom Capers,Offensive Coordinator,Worked For,HaskGi0
Rob Chudzinski,Senior Advisor,Worked For,HaskGi0
Mike Holmgren,"Offensive Coordinator, Running Backs, Wide Receivers",Worked For,HaskGi0
Eric Mangini,Senior Advisor,Worked For,HaskGi0
John Robinson,"Running Backs, Special Teams, Special Teams/Tight Ends",Worked For,HaskGi0
George Seifert,Offensive Coordinator,Worked For,HaskGi0
Pat Shurmur,Senior Advisor,Worked For,HaskGi0
Raymond Berry,Linebackers,Worked For,SidwSt0
Pete Carroll,Defensive Coordinator,Worked For,SidwSt0
Rod Dowhower,Defensive Line,Worked For,SidwSt0
Jeff Fisher,Defensive Coordinator,Worked For,SidwSt0
Mike Holmgren,Defensive Coordinator,Worked For,SidwSt0
Ron Meyer,Linebackers,Worked For,SidwSt0
Jim Mora,"Defensive Coordinator, Defensive Coordinator/ILB",Worked For,SidwSt0
Rob Chudzinski,Inside Linebackers,Worked For,FlajKe0
John Fox,Linebackers,Worked For,FlajKe0
Mike Holmgren,"Defensive Quality Control, Linebackers, Secondary",Worked For,FlajKe0
Sean Payton,Secondary,Worked For,FlajKe0
Doug Pederson,Linebackers,Worked For,FlajKe0
Mike Pettine,Inside Linebackers,Worked For,FlajKe0
Andy Reid,Outside Linebackers,Worked For,FlajKe0
Steve Spagnuolo,Defensive Coordinator,Worked For,FlajKe0
Mike Holmgren,"Defensive Assistant/QC, Defensive Coordinator, Linebackers, Tight Ends",Worked For,LindJi0
Romeo Crennel,Quarterbacks,Worked For,ZornJi0
Dennis Erickson,Offensive Assistant,Worked For,ZornJi0
Todd Haley,Quarterbacks,Worked For,ZornJi0
John Harbaugh,Quarterbacks,Worked For,ZornJi0
Mike Holmgren,Quarterbacks,Worked For,ZornJi0
Gary Moeller,Quarterbacks,Worked For,ZornJi0
Bobby Ross,Quarterbacks,Worked For,ZornJi0
Joe Bugel,Offensive Line,Employed,ZornJi0
Arthur Smith,Defensive Quality Assistant,Employed,ZornJi0
Mike Holmgren,"Offensive Assistant, Wide Receivers",Worked For,GrudJo0
Ray Rhodes,Offensive Coordinator,Worked For,GrudJo0
George Seifert,Offensive Assistant,Worked For,GrudJo0
Rich Bisaccia,"Asst. Head Coach/Running Backs/Special Teams, Asst. Head Coach/Special Teams, Interim Head Coach/Special Teams, Special Teams",Employed,GrudJo0
Gus Bradley,"Defensive Coordinator, Defensive Quality Control Assistant, Linebackers Coach",Employed,GrudJo0
Tom Cable,Offensive Line,Employed,GrudJo0
Bill Callahan,"Offensive Coordinator/Offensive Line, Offensive Coordinator/Tight Ends",Employed,GrudJo0
Brian Callahan,Quarterbacks,Employed,GrudJo0
Jay Gruden,Offensive Assistant,Employed,GrudJo0
Nathaniel Hackett,Offensive Quality Control,Employed,GrudJo0
Aaron Kromer,"Asst. OL, Senior Assistant, Sr. Asst./OL",Employed,GrudJo0
Rod Marinelli,"Assistant Head Coach/Defensive Line, Defensive Line, Defensive Line/Interim DC",Employed,GrudJo0
Sean McVay,Asst. Wide Receivers,Employed,GrudJo0
Raheem Morris,"Assistant Defensive Backs, Defensive Assistant, Defensive Backs, Defensive Quality Control",Employed,GrudJo0
Kyle Shanahan,Offensive Quality Control,Employed,GrudJo0
Mike Tomlin,Defensive Backs,Employed,GrudJo0
Marc Trestman,Quarterbacks,Employed,GrudJo0
Raymond Berry,Offensive Line,Worked For,MuirBi0
Herm Edwards,Offensive Line,Worked For,MuirBi0
Al Groh,Offensive Line,Worked For,MuirBi0
Jon Gruden,Offensive Coordinator,Worked For,MuirBi0
Todd Haley,"Offensive Coordinator/O-Line, Offensive Line",Worked For,MuirBi0
Rich Kotite,Offensive Line,Worked For,MuirBi0
Ron Meyer,"Defensive Coordinator, Offensive Line",Worked For,MuirBi0
Bill Parcells,Offensive Line,Worked For,MuirBi0
Darryl Rogers,Offensive Line,Worked For,MuirBi0
Gus Bradley,Defensive Assistant,Worked For,KiffMo0
Jerry Burns,"Defensive Coordinator, Linebackers",Worked For,KiffMo0
Bruce Coslet,Linebackers,Worked For,KiffMo0
Tony Dungy,Defensive Coordinator,Worked For,KiffMo0
Jason Garrett,"Asst. Head Coach/Defense, Defensive Coordinator",Worked For,KiffMo0
Dennis Green,Linebackers,Worked For,KiffMo0
Jon Gruden,Defensive Coordinator,Worked For,KiffMo0
Jim Mora,Defensive Coordinator,Worked For,KiffMo0
Bart Starr,Linebackers,Worked For,KiffMo0
Kay Stephenson,Linebackers,Worked For,KiffMo0
Tony Dungy,Linebackers,Worked For,BarrJo0
Jay Gruden,Defensive Coordinator,Worked For,BarrJo0
Jon Gruden,Linebackers,Worked For,BarrJo0
Matt LaFleur,Defensive Coordinator,Worked For,BarrJo0
Rod Marinelli,Defensive Coordinator,Worked For,BarrJo0
Steve Mariucci,Assistant Coach,Worked For,BarrJo0
Mike McCoy,Linebackers,Worked For,BarrJo0
Mike McDaniel,Linebackers/Def. Run Game Coordinator,Worked For,BarrJo0
Sean McVay,Asst. Head Coach/LB,Worked For,BarrJo0
Raheem Morris,Linebackers,Worked For,BarrJo0
Norv Turner,Linebackers,Worked For,BarrJo0
Todd Bowles,"Offensive Coordinator/Quarterbacks, Quarterbacks",Worked For,BateJe0
Pete Carroll,Offensive Coordinator,Worked For,BateJe0
Herm Edwards,Quarterbacks,Worked For,BateJe0
Jon Gruden,"Asst. Quarterbacks, Offensive Quality Control",Worked For,BateJe0
Mike Shanahan,"Offensive Assistant, Quarterbacks, Wide Receivers/Quarterbacks",Worked For,BateJe0
Lovie Smith,Quarterbacks,Worked For,BateJe0
Jason Garrett,Asst. Head Coach/Special Teams,Worked For,BisaRi0
Jon Gruden,"Asst. Head Coach/Running Backs/Special Teams, Asst. Head Coach/Special Teams, Interim Head Coach/Special Teams, Special Teams",Worked For,BisaRi0
Matt LaFleur,"Special Teams, Special Teams/Asst. Head Coach",Worked For,BisaRi0
Raheem Morris,Asst. Head Coach/Special Teams,Worked For,BisaRi0
Norv Turner,"Asst. Head Coach/Special Teams, Special Teams Coordinator",Worked For,BisaRi0
Gus Bradley,Defensive Coordinator,Employed,BisaRi0
Tom Cable,Offensive Line,Employed,BisaRi0
Rod Marinelli,Defensive Line,Employed,BisaRi0
Jon Gruden,Offensive Assistant,Worked For,GrudJa0
Marvin Lewis,Offensive Coordinator,Worked For,GrudJa0
Doug Marrone,Offensive Coordinator,Worked For,GrudJa0
Sean McVay,Consultant,Worked For,GrudJa0
Bill Callahan,"Asst. HC/Offensive Line, Asst. HC/Offensive Line/Interim HC, Offensive Line",Employed,GrudJa0
Perry Fewell,Defensive Backs,Employed,GrudJa0
Jim Haslett,Defensive Coordinator,Employed,GrudJa0
Sean McVay,Offensive Coordinator,Employed,GrudJa0
Raheem Morris,Secondary,Employed,GrudJa0
Kevin O'Connell,"Offensive Coordinator, Quarterbacks",Employed,GrudJa0
Jim Tomsula,Defensive Line,Employed,GrudJa0
Tony Dungy,Defensive Line,Worked For,MariRo0
Jason Garrett,"Defensive Coordinator/Defensive Line, Defensive Line",Worked For,MariRo0
Jon Gruden,"Assistant Head Coach/Defensive Line, Defensive Line, Defensive Line/Interim DC",Worked For,MariRo0
Lovie Smith,"Assistant Head Coach/Defensive Line, Defensive Coordinator/Asst. Head Coach",Worked For,MariRo0
Adam Gase,"Offensive Assistant, Quarterbacks",Employed,MariRo0
Mike Martz,Offensive Coordinator,Employed,MariRo0
Jay Gruden,Secondary,Worked For,MorrRa0
Jon Gruden,"Assistant Defensive Backs, Defensive Assistant, Defensive Backs, Defensive Quality Control",Worked For,MorrRa0
Sean McVay,Defensive Coordinator,Worked For,MorrRa0
Dan Quinn,"Asst. HC/Def. Pass Gm. Coord., Asst. HC/WR Coach, Asst. HC/WR Coach/Passing Game Coord., Defensive Coordinator/Interim HC",Worked For,MorrRa0
Mike Shanahan,Secondary,Worked For,MorrRa0
Jim Bates,Defensive Coordinator,Employed,MorrRa0
Rich Bisaccia,Asst. Head Coach/Special Teams,Employed,MorrRa0
Dirk Koetter,Offensive Coordinator,Employed,MorrRa0
Brad Childress,Defensive Coordinator,Worked For,TomlMi0
Tony Dungy,Defensive Backs,Worked For,TomlMi0
Jon Gruden,Defensive Backs,Worked For,TomlMi0
Bruce Arians,Offensive Coordinator,Employed,TomlMi0
Brian Flores,Linebackers/Senior Defensive Asst.,Employed,TomlMi0
Todd Haley,Offensive Coordinator,Employed,TomlMi0
Dick LeBeau,Defensive Coordinator,Employed,TomlMi0
Mike Munchak,Offensive Line,Employed,TomlMi0
Arthur Smith,Offensive Coordinator,Employed,TomlMi0
Jack Pardee,Defensive Coordinator/Interim HC,Worked For,FishJe0
John Robinson,Defensive Coordinator,Worked For,FishJe0
Buddy Ryan,"Defensive Backs, Defensive Coordinator/Linebackers",Worked For,FishJe0
George Seifert,Defensive Backs,Worked For,FishJe0
Tom Bettis,Defensive Backs,Employed,FishJe0
Gunther Cunningham,Assistant Head Coach/Linebackers,Employed,FishJe0
John Fassel,"Special Teams Coordinator, Special Teams Coordinator/Interim Head Coach",Employed,FishJe0
Kevin Gilbride,Offensive Coordinator,Employed,FishJe0
Dave McGinnis,"Assistant Head Coach, Assistant Head Coach/Linebackers, Linebackers",Employed,FishJe0
Mike Munchak,"Offensive Assistant/Quality Control, Offensive Line",Employed,FishJe0
Jim Schwartz,"Defensive Assistant, Defensive Coordinator, Linebackers",Employed,FishJe0
Mike Singletary,Defensive Assistant,Employed,FishJe0
Les Steckel,"Offensive Coordinator, Offensive Coordinator/QB, Wide Receivers/TE",Employed,FishJe0
Gregg Williams,"Defensive Coordinator, Linebackers",Employed,FishJe0
Herm Edwards,Offensive Coordinator,Worked For,HeimMi0
Jeff Fisher,Offensive Coordinator,Worked For,HeimMi0
Mike Shanahan,"Assistant Head Coach, Assistant Head Coach/QB, Wide Receivers",Worked For,HeimMi0
Bill Belichick,Personnel Scout,Worked For,SchwJi0
Jeff Fisher,"Defensive Assistant, Defensive Coordinator, Linebackers",Worked For,SchwJi0
Ted Marchibroda,Defensive Assistant,Worked For,SchwJi0
Doug Marrone,Defensive Coordinator,Worked For,SchwJi0
Doug Pederson,Defensive Coordinator,Worked For,SchwJi0
Kevin Stefanski,Defensive Coordinator,Worked For,SchwJi0
Mike Vrabel,Senior Defensive Asst.,Worked For,SchwJi0
Gunther Cunningham,Defensive Coordinator,Employed,SchwJi0
Scott Linehan,Offensive Coordinator,Employed,SchwJi0
Jeff Fisher,"Defensive Assistant, Defensive Backs, Defensive Coordinator, Safeties, Secondary",Worked For,CeciCh0
Jim Caldwell,Sr. Coaching Assistant,Worked For,CunnGu0
Don Coryell,Defensive Line,Worked For,CunnGu0
Herm Edwards,Defensive Coordinator,Worked For,CunnGu0
Jeff Fisher,Assistant Head Coach/Linebackers,Worked For,CunnGu0
Dan Henning,Defensive Line,Worked For,CunnGu0
Hal Hunter,DL/LB,Worked For,CunnGu0
Frank Kush,DL/LB,Worked For,CunnGu0
Al Saunders,Defensive Line,Worked For,CunnGu0
Marty Schottenheimer,Defensive Coordinator,Worked For,CunnGu0
Jim Schwartz,Defensive Coordinator,Worked For,CunnGu0
Art Shell,"Defensive Coordinator, Linebackers",Worked For,CunnGu0
Dick Vermeil,Defensive Coordinator,Worked For,CunnGu0
Joe Vitt,Linebackers,Employed,CunnGu0
Jeff Fisher,"Assistant Head Coach, Offensive Line/TE",Worked For,HensGe0
Mike Munchak,Tight Ends,Worked For,HensGe0
Sean Payton,Running Backs/SA,Worked For,HensGe0
Dan Reeves,"Offensive Coordinator, Offensive Line, Wide Receivers",Worked For,HensGe0
Vic Fangio,Offensive Line,Worked For,MuncMi0
Jeff Fisher,"Offensive Assistant/Quality Control, Offensive Line",Worked For,MuncMi0
Jack Pardee,Offensive Assistant/Quality Control,Worked For,MuncMi0
Mike Tomlin,Offensive Line,Worked For,MuncMi0
Jonathan Gannon,Defensive Quality Control,Employed,MuncMi0
Dave McGinnis,Assistant Head Coach/Linebackers,Employed,MuncMi0
Chris Palmer,Offensive Coordinator,Employed,MuncMi0
Arthur Smith,"Defensive Quality Control, Offensive Quality Control, OL/Tight Ends",Employed,MuncMi0
Gregg Williams,Senior Defensive Assistant,Employed,MuncMi0
Pete Carroll,Running Backs,Worked For,SmitSh0
Jeff Fisher,"Asst. Head Coach/Running Backs, Running Backs",Worked For,SmitSh0
Jim Zorn,Offensive Coordinator,Worked For,SmitSh0
Hue Jackson,"Offensive Coordinator, Running Backs",Employed,SpurSt0
Marvin Lewis,Defensive Coordinator,Employed,SpurSt0
Brian Billick,Defensive Coordinator,Worked For,LewiMa0
Bill Cowher,Linebackers,Worked For,LewiMa0
Ted Marchibroda,Defensive Coordinator,Worked For,LewiMa0
Antonio Pierce,Assistant Head Coach,Worked For,LewiMa0
Steve Spurrier,Defensive Coordinator,Worked For,LewiMa0
Leslie Frazier,Defensive Coordinator,Employed,LewiMa0
Jay Gruden,Offensive Coordinator,Employed,LewiMa0
Jim Haslett,Linebackers,Employed,LewiMa0
Hue Jackson,"Offensive Coordinator, Running Backs, Secondary, Special Assistant, Wide Receivers",Employed,LewiMa0
Vance Joseph,Defensive Backs,Employed,LewiMa0
Mike Zimmer,Defensive Coordinator,Employed,LewiMa0
Jon Gruden,Defensive Coordinator,Worked For,GuenPa0
Marvin Lewis,"Assistant, Defensive Backs/Special Teams, Defensive Coordinator, Linebackers, Linebackers/Special Teams",Worked For,GuenPa0
Mike McCarthy,Def. Run Game Coordinator,Worked For,GuenPa0
Steve Spurrier,Offensive Assistant,Worked For,GuenPa0
Mike Zimmer,Senior Defensive Asst.,Worked For,GuenPa0
Tom Cable,Offensive Coordinator,Worked For,JackHu0
John Harbaugh,Quarterbacks,Worked For,JackHu0
Marvin Lewis,"Offensive Coordinator, Running Backs, Secondary, Special Assistant, Wide Receivers",Worked For,JackHu0
Bobby Petrino,Offensive Coordinator,Worked For,JackHu0
Marty Schottenheimer,Running Backs,Worked For,JackHu0
Steve Spurrier,"Offensive Coordinator, Running Backs",Worked For,JackHu0
John Fassel,Special Teams Coordinator,Employed,JackHu0
Todd Haley,Offensive Coordinator,Employed,JackHu0
Freddie Kitchens,Offensive Coordinator/Running Backs,Employed,JackHu0
Al Saunders,"Offensive Coordinator, Senior Offensive Assistant/Wide Receivers",Employed,JackHu0
Chris Tabor,Special Teams Coordinator,Employed,JackHu0
Gregg Williams,Defensive Coordinator,Employed,JackHu0
Joe Gibbs,"Offensive Asst., QB Coach",Worked For,LazoBi0
Mike Holmgren,QB Coach,Worked For,LazoBi0
Chip Kelly,QB Coach,Worked For,LazoBi0
Marvin Lewis,"Offensive Coordinator, QB Coach",Worked For,LazoBi0
Jim Mora,QB Coach,Worked For,LazoBi0
Matt Nagy,Offensive Coordinator,Worked For,LazoBi0
Joe Philbin,Offensive Coordinator,Worked For,LazoBi0
Dan Reeves,Offensive Quality Control,Worked For,LazoBi0
DeMeco Ryans,Senior Offensive Asst.,Worked For,LazoBi0
Brian Billick,Linebackers,Worked For,SingMi0
Jeff Fisher,Defensive Assistant,Worked For,SingMi0
Leslie Frazier,"Assistant Head Coach/Linebackers, Asst. Head Coach/Linebackers",Worked For,SingMi0
Mike Nolan,"Assistant Head Coach/Linebackers, Interim Head Coach/Assistant Head Coach/LBs",Worked For,SingMi0
Adam Gase,Offensive Assistant,Employed,SingMi0
Vance Joseph,Defensive Backs,Employed,SingMi0
Mike Martz,Offensive Coordinator,Employed,SingMi0
Jim Tomsula,"Defensive Line, Defensive Line/Interim HC",Employed,SingMi0
Bill Belichick,Linebackers,Worked For,BlacDo0
Raymond Berry,"Assistant, Linebackers",Worked For,BlacDo0
Herm Edwards,Linebackers,Worked For,BlacDo0
Mike Mularkey,Linebackers,Worked For,BlacDo0
Dan Reeves,"Defensive Coordinator, Linebackers",Worked For,BlacDo0
Rod Rust,Linebackers,Worked For,BlacDo0
Gregg Williams,Linebackers,Worked For,BlacDo0
Raymond Berry,Quarterbacks/WR,Worked For,StecLe0
Tony Dungy,Offensive Coordinator,Worked For,StecLe0
Jeff Fisher,"Offensive Coordinator, Offensive Coordinator/QB, Wide Receivers/TE",Worked For,StecLe0
Bud Grant,Wide Receivers,Worked For,StecLe0
Pete McCulley,Wide Receivers,Worked For,StecLe0
Wade Phillips,Tight Ends,Worked For,StecLe0
Gregg Williams,Running Backs,Worked For,StecLe0
Jerry Burns,Offensive Coordinator,Employed,StecLe0
Bob Hollway,Quality Control,Employed,StecLe0
Dennis Allen,Offensive Coordinator,Worked For,OlsoGr0
Gus Bradley,Offensive Coordinator,Worked For,OlsoGr0
Pete Carroll,Quarterbacks,Worked For,OlsoGr0
Jon Gruden,"Offensive Coordinator, Quarterbacks",Worked For,OlsoGr0
Dick Jauron,Quarterbacks,Worked For,OlsoGr0
Scott Linehan,Offensive Coordinator,Worked For,OlsoGr0
Steve Mariucci,"Offensive Coordinator, Quarterbacks",Worked For,OlsoGr0
Sean McVay,"Offensive Assistant, Quarterbacks",Worked For,OlsoGr0
Raheem Morris,Offensive Coordinator,Worked For,OlsoGr0
Mike Mularkey,Asst. Head Coach/Quarterbacks,Worked For,OlsoGr0
Ron Erhardt,Linebackers,Worked For,ParcBi0
Ray Perkins,Defensive Coordinator,Worked For,ParcBi0
Bill Belichick,"Asst. Head Coach/Defensive Backs, Asst. Head Coach/Defensive Coordinator, Defensive Coordinator, Linebackers/Special Teams",Employed,ParcBi0
Todd Bowles,Secondary,Employed,ParcBi0
Tom Coughlin,Wide Receivers,Employed,ParcBi0
Romeo Crennel,"Defensive Line, Special Teams",Employed,ParcBi0
Ron Erhardt,Offensive Coordinator,Employed,ParcBi0
Al Groh,"Defensive Coordinator/Linebackers, Linebackers",Employed,ParcBi0
Todd Haley,"Offensive Assistant/Quality Control, Wide Receivers, Wide Receivers/Passing Game Coordinator",Employed,ParcBi0
Ray Handley,Offensive Backfield,Employed,ParcBi0
Dan Henning,Quarterbacks,Employed,ParcBi0
Freddie Kitchens,Tight Ends,Employed,ParcBi0
Anthony Lynn,Running Backs,Employed,ParcBi0
Eric Mangini,Defensive Assistant/Quality Control,Employed,ParcBi0
Chris Palmer,"Quarterbacks, Wide Receivers",Employed,ParcBi0
Sean Payton,"Asst. Head Coach/Passing Game Coordinator, Asst. Head Coach/Quarterbacks",Employed,ParcBi0
Ray Perkins,Offensive Coordinator,Employed,ParcBi0
Tony Sparano,"Offensive Line/Running Game Coordinator, Tight Ends",Employed,ParcBi0
Mike Zimmer,Defensive Coordinator,Employed,ParcBi0
Bruce Arians,Defensive Line,Worked For,RodgKa0
Todd Bowles,"Co-Defensive Coordinator/DL, Defensive Coordinator",Worked For,RodgKa0
Bill Parcells,"Defensive Line, Defensive Tackles",Worked For,RodgKa0
Joe Philbin,Defensive Line,Worked For,RodgKa0
Wade Phillips,Defensive Line,Worked For,RodgKa0
Tony Sparano,Defensive Line,Worked For,RodgKa0
Gary Kubiak,Offensive Coordinator/QB,Worked For,CalhTr0
Mike Shanahan,"Assistant to Head Coach, Defensive Assistant, Offensive Assistant/Special Teams",Worked For,CalhTr0
Dennis Green,Offensive Coordinator,Worked For,LewiSh0
Mike Holmgren,Offensive Coordinator,Worked For,LewiSh0
Steve Mariucci,Offensive Coordinator,Worked For,LewiSh0
Ray Rhodes,Offensive Coordinator,Worked For,LewiSh0
George Seifert,"Running Backs, Wide Receivers",Worked For,LewiSh0
Bill Walsh,Running Backs,Worked For,LewiSh0
Jim Zorn,Offensive Assistant,Worked For,LewiSh0
John Fox,"Offensive Coordinator, Quarterbacks",Worked For,GaseAd0
Rod Marinelli,"Offensive Assistant, Quarterbacks",Worked For,GaseAd0
Steve Mariucci,"Offensive Assistant, Scouting Assistant",Worked For,GaseAd0
Josh McDaniels,Wide Receivers,Worked For,GaseAd0
Mike Nolan,Offensive Assistant,Worked For,GaseAd0
Vance Joseph,Defensive Coordinator,Employed,GaseAd0
Eric Studesville,Running Backs/RGC,Employed,GaseAd0
Joe Vitt,"Consultant, Senior Def. Asst./OLB",Employed,GaseAd0
Gregg Williams,Defensive Coordinator,Employed,GaseAd0
Mike McCarthy,"Offensive Coordinator, Offensive Line",Worked For,PhilJo0
Chuck Pagano,Asst. Head Coach/Offensive Line,Worked For,PhilJo0
Antonio Pierce,Senior Offensive Asst.,Worked For,PhilJo0
Mike Sherman,"Asst. Offensive Line, Tight Ends/Asst. Offensive Line",Worked For,PhilJo0
Dan Campbell,"TE Coach/Interim Head Coach, Tight Ends",Employed,PhilJo0
Mike Pettine,Defensive Coordinator,Employed,PhilJo0
Al Saunders,Senior Offensive Assistant,Employed,PhilJo0
Mike Sherman,Offensive Coordinator,Employed,PhilJo0
Zac Taylor,"Asst. QB Coach, QB Coach, QB Coach/Interim OC",Employed,PhilJo0
Joe Bugel,Quarterbacks,Worked For,MusgBi0
Jack Del Rio,Offensive Coordinator,Worked For,MusgBi0
Leslie Frazier,Offensive Coordinator,Worked For,MusgBi0
Joe Gibbs,Quarterbacks,Worked For,MusgBi0
Vance Joseph,"Offensive Coordinator, Quarterbacks/Offensive Coordinator",Worked For,MusgBi0
Chip Kelly,Quarterbacks,Worked For,MusgBi0
Jim Mora,Quarterbacks,Worked For,MusgBi0
Bobby Petrino,Quarterbacks,Worked For,MusgBi0
Ray Rhodes,Offensive Asst./Interim OC,Worked For,MusgBi0
George Seifert,"Offensive Coordinator, Quarterbacks",Worked For,MusgBi0
Mike Smith,"Asst. Head Coach/Quarterbacks, Quarterbacks",Worked For,MusgBi0
Kevin Stefanski,Senior Offensive Asst.,Worked For,MusgBi0
Bill Belichick,Wide Receivers,Worked For,OSheCh0
Brad Childress,"Offensive Assistant, Wide Receivers, Wide Receivers/Asst. Special Teams",Worked For,OSheCh0
Brian Flores,Offensive Coordinator,Worked For,OSheCh0
Kevin Stefanski,Wide Receivers/Passing Game Coordinator,Worked For,OSheCh0
Dick Vermeil,"Asst. Special Teams, Volunteer Assistant",Worked For,OSheCh0
Gus Bradley,Defensive Coordinator,Worked For,BabiBo0
Mike Martz,Linebackers,Worked For,BabiBo0
Mike McCoy,Linebackers,Worked For,BabiBo0
Sean McDermott,Linebackers,Worked For,BabiBo0
Lovie Smith,"Assistant Head Coach/Linebackers, Defensive Coordinator, Defensive Coordinator/Linebackers, Linebackers",Worked For,BabiBo0
Jack Del Rio,"Offensive Coordinator, Quarterbacks",Worked For,DownTo0
Scott Linehan,"Defensive Quality Control, Defensive/ST Assistant",Worked For,DownTo0
Doug Marrone,Quarterbacks,Worked For,DownTo0
Robert Saleh,Passing Game Coordinator,Worked For,DownTo0
Jim Schwartz,"Assistant QB Coach, Offensive Quality Control, Quarterbacks",Worked For,DownTo0
Mike Tice,"Football Systems Analyst, Offensive Quality Control",Worked For,DownTo0
Mike Vrabel,"Offensive Coordinator, Tight Ends",Worked For,DownTo0
Mike Zimmer,Offensive Assistant,Worked For,DownTo0
Joe Bugel,Special Teams,Worked For,TillRu0
Tom Flores,Defensive Coordinator,Worked For,TillRu0
Chuck Knox,"Linebackers/Special Teams, Tight Ends/Special Teams",Worked For,TillRu0
Mike McCormack,Special Teams,Worked For,TillRu0
Jim Mora,Defensive Coordinator,Worked For,TillRu0
Jack Patera,Special Teams,Worked For,TillRu0
Mike Tice,Special Teams,Worked For,TillRu0
Sam Wyche,Defensive Coordinator,Worked For,TillRu0
Jim Fassel,Quarterbacks,Worked For,SchoTu0
Jim Haslett,Quarterbacks,Worked For,SchoTu0
Dick Jauron,"Offensive Coordinator, Quarterbacks",Worked For,SchoTu0
Wade Phillips,Quarterbacks,Worked For,SchoTu0
George Seifert,Quarterbacks,Worked For,SchoTu0
Sam Wyche,Quarterbacks,Worked For,SchoTu0
David Culley,Quarterbacks/PGC,Worked For,HamiPe0
Herm Edwards,"Offensive Asst./QB, Offensive Quality Control",Worked For,HamiPe0
Hue Jackson,Associate Head Coach-Offense,Worked For,HamiPe0
Anthony Lynn,Quarterbacks,Worked For,HamiPe0
Mike Nolan,Offensive Asst./QB,Worked For,HamiPe0
Chuck Pagano,Offensive Coordinator,Worked For,HamiPe0
Lovie Smith,"Offensive Coordinator, Quarterbacks",Worked For,HamiPe0
Jim Mora,Defensive Coordinator,Employed,EricDe0
Dan Quinn,Defensive Line,Employed,EricDe0
Jim Zorn,Offensive Assistant,Employed,EricDe0
Dennis Erickson,"Defensive Coordinator, Linebackers",Worked For,McMaGr0
Mike Nolan,Linebackers,Worked For,McMaGr0
Jim Caldwell,Defensive Coordinator,Worked For,AustTe0
John Harbaugh,Secondary,Worked For,AustTe0
Mike Holmgren,Defensive Backs,Worked For,AustTe0
Marvin Lewis,Defensive Coordinator,Worked For,AustTe0
Mike Tomlin,"Defensive Coordinator, Senior Def. Asst./Secondary",Worked For,AustTe0
Ken Whisenhunt,Defensive Backs,Worked For,AustTe0
Todd Bowles,Outside Linebackers,Worked For,EdwaGe0
Cam Cameron,Linebackers,Worked For,EdwaGe0
Dave Campo,Linebackers,Worked For,EdwaGe0
Butch Davis,Linebackers,Worked For,EdwaGe0
Chan Gailey,"Defensive Coordinator, Linebackers",Worked For,EdwaGe0
Mike McCarthy,Senior Defensive Asst.,Worked For,EdwaGe0
Joe Philbin,Linebackers,Worked For,EdwaGe0
Nick Saban,Linebackers,Worked For,EdwaGe0
Tony Sparano,Linebackers,Worked For,EdwaGe0
Steve Spurrier,"Asst. Defensive Coordinator/Linebackers, Defensive Coordinator",Worked For,EdwaGe0
Mike Zimmer,Defensive Coordinator,Worked For,EdwaGe0
Bill Walsh,"Special Teams, WR Coach",Worked For,GreeDe0
Brian Billick,"Offensive Coordinator, Offensive Coordinator/Tight Ends, Tight Ends",Employed,GreeDe0
Tony Dungy,Defensive Coordinator,Employed,GreeDe0
Emmitt Thomas,Defensive Coordinator,Employed,GreeDe0
Mike Tice,"Interim Head Coach/Offensive Line, Offensive Line, Tight Ends",Employed,GreeDe0
Dennis Green,"Offensive Coordinator, Quarterbacks",Worked For,KrucMi0
Mike Mularkey,Quarterbacks,Worked For,WychSa0
Bill Walsh,Quarterbacks,Worked For,WychSa0
Bruce Coslet,"Offensive Coordinator, Wide Receivers",Employed,WychSa0
David Culley,Wide Receivers,Employed,WychSa0
Bill Johnson,Tight Ends,Employed,WychSa0
Ed Khayat,Defensive Line,Employed,WychSa0
Dick LeBeau,Defensive Coordinator,Employed,WychSa0
Mike Mularkey,"Quality Control, Tight Ends",Employed,WychSa0
David Shula,Wide Receivers,Employed,WychSa0
Chuck Studley,Defensive Line,Employed,WychSa0
